"Country or Area","Year(s)","Variant","Value"
"World","2100","Medium","11184367.721"
"World","2100","High","16521244.912"
"World","2100","Low","7275464.054"
"World","2100","Constant fertility","26329454.981"
"World","2100","Instant replacement","10301385.744"
"World","2100","Zero migration","11166739.645"
"World","2100","Constant mortality","8649517.119"
"World","2100","No change","19651681.645"
"World","2100","Momentum","9035415.621"
"World","2099","Medium","11174218.742"
"World","2099","High","16397188.424"
"World","2099","Low","7327862.146"
"World","2099","Constant fertility","25705985.449"
"World","2099","Instant replacement","10286428.140"
"World","2099","Zero migration","11156849.308"
"World","2099","Constant mortality","8681262.813"
"World","2099","No change","19300255.394"
"World","2099","Momentum","9036301.922"
"World","2098","Medium","11163286.403"
"World","2098","High","16273099.129"
"World","2098","Low","7379835.121"
"World","2098","Constant fertility","25103335.471"
"World","2098","Instant replacement","10271497.117"
"World","2098","Zero migration","11146163.923"
"World","2098","Constant mortality","8712496.133"
"World","2098","No change","18958882.463"
"World","2098","Momentum","9037207.296"
"World","2097","Medium","11151596.850"
"World","2097","High","16149040.619"
"World","2097","Low","7431360.476"
"World","2097","Constant fertility","24520866.278"
"World","2097","Instant replacement","10256612.035"
"World","2097","Zero migration","11134712.503"
"World","2097","Constant mortality","8743175.026"
"World","2097","No change","18627293.027"
"World","2097","Momentum","9038136.108"
"World","2096","Medium","11139172.514"
"World","2096","High","16025070.420"
"World","2096","Low","7482414.119"
"World","2096","Constant fertility","23957947.938"
"World","2096","Instant replacement","10241787.269"
"World","2096","Zero migration","11122520.972"
"World","2096","Constant mortality","8773258.867"
"World","2096","No change","18305220.924"
"World","2096","Momentum","9039090.208"
"World","2095","Medium","11126032.796"
"World","2095","High","15901239.679"
"World","2095","Low","7532970.369"
"World","2095","Constant fertility","23413959.621"
"World","2095","Instant replacement","10227031.342"
"World","2095","Zero migration","11109611.387"
"World","2095","Constant mortality","8802708.753"
"World","2095","No change","17992403.211"
"World","2095","Momentum","9040068.022"
"World","2094","Medium","11112193.711"
"World","2094","High","15777593.262"
"World","2094","Low","7583002.133"
"World","2094","Constant fertility","22888289.695"
"World","2094","Instant replacement","10212347.642"
"World","2094","Zero migration","11096002.011"
"World","2094","Constant mortality","8831487.195"
"World","2094","No change","17688579.997"
"World","2094","Momentum","9041064.367"
"World","2093","Medium","11097667.992"
"World","2093","High","15654169.122"
"World","2093","Low","7632480.686"
"World","2093","Constant fertility","22380335.196"
"World","2093","Instant replacement","10197734.180"
"World","2093","Zero migration","11081707.601"
"World","2093","Constant mortality","8859558.582"
"World","2093","No change","17393494.998"
"World","2093","Momentum","9042071.284"
"World","2092","Medium","11082465.223"
"World","2092","High","15531000.699"
"World","2092","Low","7681375.693"
"World","2092","Constant fertility","21889503.213"
"World","2092","Instant replacement","10183183.577"
"World","2092","Zero migration","11066739.906"
"World","2092","Constant mortality","8886888.889"
"World","2092","No change","17106895.711"
"World","2092","Momentum","9043078.103"
"World","2091","Medium","11066592.635"
"World","2091","High","15408117.508"
"World","2091","Low","7729655.304"
"World","2091","Constant fertility","21415211.808"
"World","2091","Instant replacement","10168684.736"
"World","2091","Zero migration","11051107.057"
"World","2091","Constant mortality","8913446.686"
"World","2091","No change","16828534.862"
"World","2091","Momentum","9044073.042"
"World","2090","Medium","11050055.193"
"World","2090","High","15285550.227"
"World","2090","Low","7777285.959"
"World","2090","Constant fertility","20956894.948"
"World","2090","Instant replacement","10154225.033"
"World","2090","Zero migration","11034816.029"
"World","2090","Constant mortality","8939204.126"
"World","2090","No change","16558173.625"
"World","2090","Momentum","9045046.507"
"World","2089","Medium","11032857.615"
"World","2089","High","15163336.714"
"World","2089","Low","7824232.368"
"World","2089","Constant fertility","20514005.340"
"World","2089","Instant replacement","10139793.081"
"World","2089","Zero migration","11017872.707"
"World","2089","Constant mortality","8964138.708"
"World","2089","No change","16295585.328"
"World","2089","Momentum","9045994.665"
"World","2088","Medium","11015004.824"
"World","2088","High","15041525.577"
"World","2088","Low","7870457.325"
"World","2088","Constant fertility","20086019.567"
"World","2088","Instant replacement","10125380.919"
"World","2088","Zero migration","11000283.539"
"World","2088","Constant mortality","8988234.872"
"World","2088","No change","16040557.568"
"World","2088","Momentum","9046922.933"
"World","2087","Medium","10996502.489"
"World","2087","High","14920179.039"
"World","2087","Low","7915921.721"
"World","2087","Constant fertility","19672438.700"
"World","2087","Instant replacement","10110985.039"
"World","2087","Zero migration","10982055.831"
"World","2087","Constant mortality","9011483.908"
"World","2087","No change","15792894.921"
"World","2087","Momentum","9047847.017"
"World","2086","Medium","10977355.755"
"World","2086","High","14799366.896"
"World","2086","Low","7960584.837"
"World","2086","Constant fertility","19272784.022"
"World","2086","Instant replacement","10096604.011"
"World","2086","Zero migration","10963196.739"
"World","2086","Constant mortality","9033883.037"
"World","2086","No change","15552414.211"
"World","2086","Momentum","9048789.547"
"World","2085","Medium","10957565.804"
"World","2085","High","14679150.158"
"World","2085","Low","8004404.355"
"World","2085","Constant fertility","18886584.313"
"World","2085","Instant replacement","10082229.433"
"World","2085","Zero migration","10943708.863"
"World","2085","Constant mortality","9055430.122"
"World","2085","No change","15318933.892"
"World","2085","Momentum","9049767.815"
"World","2084","Medium","10937133.165"
"World","2084","High","14559563.944"
"World","2084","Low","8047344.794"
"World","2084","Constant fertility","18513368.378"
"World","2084","Instant replacement","10067842.943"
"World","2084","Zero migration","10923593.037"
"World","2084","Constant mortality","9076112.964"
"World","2084","No change","15092259.328"
"World","2084","Momentum","9050777.919"
"World","2083","Medium","10916049.655"
"World","2083","High","14440638.073"
"World","2083","Low","8089362.658"
"World","2083","Constant fertility","18152669.437"
"World","2083","Instant replacement","10053416.987"
"World","2083","Zero migration","10902842.067"
"World","2083","Constant mortality","9095925.531"
"World","2083","No change","14872202.645"
"World","2083","Momentum","9051816.615"
"World","2082","Medium","10894298.619"
"World","2082","High","14322419.334"
"World","2082","Low","8130398.268"
"World","2082","Constant fertility","17804035.505"
"World","2082","Instant replacement","10038920.661"
"World","2082","Zero migration","10881439.196"
"World","2082","Constant mortality","9114882.256"
"World","2082","No change","14658601.460"
"World","2082","Momentum","9052903.218"
"World","2081","Medium","10871858.040"
"World","2081","High","14204954.700"
"World","2081","Low","8170384.949"
"World","2081","Constant fertility","17467025.368"
"World","2081","Instant replacement","10024317.594"
"World","2081","Zero migration","10859362.220"
"World","2081","Constant mortality","9133004.395"
"World","2081","No change","14451303.357"
"World","2081","Momentum","9054061.468"
"World","2080","Medium","10848708.184"
"World","2080","High","14088280.438"
"World","2080","Low","8209264.662"
"World","2080","Constant fertility","17141211.002"
"World","2080","Instant replacement","10009570.328"
"World","2080","Zero migration","10836591.420"
"World","2080","Constant mortality","9150306.069"
"World","2080","No change","14250152.015"
"World","2080","Momentum","9055302.821"
"World","2079","Medium","10824840.805"
"World","2079","High","13972413.932"
"World","2079","Low","8247000.785"
"World","2079","Constant fertility","16826180.977"
"World","2079","Instant replacement","9994649.799"
"World","2079","Zero migration","10813118.105"
"World","2079","Constant mortality","9166782.152"
"World","2079","No change","14054976.058"
"World","2079","Momentum","9056617.721"
"World","2078","Medium","10800248.725"
"World","2078","High","13857362.008"
"World","2078","Low","8283563.460"
"World","2078","Constant fertility","16521538.303"
"World","2078","Instant replacement","9979521.073"
"World","2078","Zero migration","10788934.897"
"World","2078","Constant mortality","9182421.010"
"World","2078","No change","13865600.084"
"World","2078","Momentum","9057980.935"
"World","2077","Medium","10774916.274"
"World","2077","High","13743132.581"
"World","2077","Low","8318911.232"
"World","2077","Constant fertility","16226897.327"
"World","2077","Instant replacement","9964132.145"
"World","2077","Zero migration","10764024.731"
"World","2077","Constant mortality","9197220.988"
"World","2077","No change","13681859.690"
"World","2077","Momentum","9059365.905"
"World","2076","Medium","10748825.986"
"World","2076","High","13629727.693"
"World","2076","Low","8353003.292"
