2012 HDI Rank,Name,Country Code,2012 Population,2030 Population,2000/2005 Annual Population Growth,2010/2015 Annual Population Growth,2000 Urban Population,2012 Urban Population,2000 Median Age,2010 Median Age
1,Norway,NOR,5,5.6,0.6,0.7,76.1,79.7,36.9,38.7
2,Australia,AUS,22.9,27.8,1.3,1.3,87.2,89.4,35.4,36.9
3,United States,USA,315.8,361.7,1,0.9,79.1,82.6,35.3,36.9
4,Netherlands,NLD,16.7,17.3,0.6,0.3,76.8,83.6,37.3,40.7
5,Germany,DEU,82,79.5,0,-0.2,73.1,74.1,39.9,44.3
6,New Zealand,NZL,4.5,5.2,1.4,1,85.7,86.3,34.3,36.6
7,Ireland,IRL,4.6,5.4,1.8,1.1,59.1,62.5,32.5,34.7
7,Sweden,SWE,9.5,10.4,0.4,0.6,84,85.4,39.4,40.7
9,Switzerland,CHE,7.7,8.1,0.7,0.4,73.3,73.8,38.6,41.4
10,Japan,JPN,126.4,120.2,0.1,-0.1,78.6,91.9,41.3,44.7
11,Canada,CAN,34.7,39.8,1,0.9,79.5,80.8,36.8,39.9
12,Korea (Republic of),KOR,48.6,50.3,0.5,0.4,79.6,83.5,32.1,37.9
13,"Hong Kong, China (SAR)",HKG,7.2,8.5,0.1,1,100,100,36.5,41.8
13,Iceland,ISL,0.3,0.4,1.1,1.2,92.4,93.8,32.8,34.8
15,Denmark,DNK,5.6,5.9,0.3,0.3,85.1,87.1,38.4,40.6
16,Israel,ISR,7.7,9.8,1.9,1.7,91.2,91.9,28,30.1
17,Belgium,BEL,10.8,11.2,0.5,0.3,97.1,97.5,39.1,41.2
18,Austria,AUT,8.4,8.6,0.6,0.2,65.8,67.9,38.2,41.8
18,Singapore,SGP,5.3,6,1.7,1.1,100,100,34.1,37.6
20,France,FRA,63.5,68.5,0.6,0.5,76.9,86.4,37.7,39.9
21,Finland,FIN,5.4,5.6,0.3,0.3,82.2,83.8,39.3,42
21,Slovenia,SVN,2,2.1,0.2,0.2,50.8,49.8,38,41.7
23,Spain,ESP,46.8,50,1.5,0.6,76.3,77.6,37.6,40.1
24,Liechtenstein,LIE,0,0,1.1,0.8,15.1,14.3,..,..
25,Italy,ITA,61,60.9,0.6,0.2,67.2,68.5,40.2,43.2
26,Luxembourg,LUX,0.5,0.6,1,1.4,83.8,85.7,37.3,38.9
26,United Kingdom,GBR,62.8,69.3,0.4,0.6,78.7,79.7,37.7,39.8
28,Czech Republic,CZE,10.6,10.8,0,0.3,74,73.4,37.4,39.4
29,Greece,GRC,11.4,11.6,0.4,0.2,59.7,61.7,38.3,41.4
30,Brunei Darussalam,BRN,0.4,0.5,2.1,1.7,71.2,76.4,25.8,28.9
31,Cyprus,CYP,1.1,1.3,1.8,1.1,68.6,70.7,31.8,34.2
32,Malta,MLT,0.4,0.4,0.6,0.3,92.4,95,36.1,39.5
33,Andorra,AND,0.1,0.1,3.7,1.5,92.4,86.7,..,..
33,Estonia,EST,1.3,1.3,-0.4,-0.1,69.4,69.5,37.9,39.7
35,Slovakia,SVK,5.5,5.5,0,0.2,56.2,54.7,33.6,36.9
36,Qatar,QAT,1.9,2.4,6.6,2.9,96.3,98.9,30.3,31.6
37,Hungary,HUN,9.9,9.6,-0.2,-0.2,64.6,69.9,38.5,39.8
38,Barbados,BRB,0.3,0.3,0.2,0.2,38.3,44.9,33.6,37.5
39,Poland,POL,38.3,37.8,-0.1,0,61.7,60.8,35.3,38
40,Chile,CHL,17.4,19.5,1.1,0.9,85.9,89.4,28.8,32.1
41,Lithuania,LTU,3.3,3.1,-0.5,-0.4,67,67.2,35.9,39.3
41,United Arab Emirates,ARE,8.1,10.5,5.9,2.2,80.2,84.7,28.1,30.1
43,Portugal,PRT,10.7,10.3,0.4,0,54.4,61.6,37.7,41
44,Latvia,LVA,2.2,2.1,-0.7,-0.4,68.1,67.7,38.1,40.2
45,Argentina,ARG,41.1,46.8,0.9,0.9,90.1,92.7,27.9,30.4
46,Seychelles,SYC,0.1,0.1,1.2,0.3,50.4,54,..,..
47,Croatia,HRV,4.4,4.2,-0.3,-0.2,55.6,58.1,39.1,41.5
48,Bahrain,BHR,1.4,1.7,2.5,2.1,88.4,88.7,27.4,30.1
49,Bahamas,BHS,0.4,0.4,1.4,1.1,82,84.5,27,30.9
50,Belarus,BLR,9.5,8.9,-0.5,-0.3,70,75.5,36.3,38.3
51,Uruguay,URY,3.4,3.6,0,0.3,91.3,92.6,31.6,33.7
52,Montenegro,MNE,0.6,0.6,-0.2,0.1,58.5,63.5,33.5,35.9
52,Palau,PLW,0,0,0.8,0.8,70,85.1,..,..
54,Kuwait,KWT,2.9,4,3.1,2.4,98.1,98.3,28.3,28.2
55,Russian Federation,RUS,142.7,136.4,-0.4,-0.1,73.4,74,36.5,37.9
56,Romania,ROU,21.4,20.3,-0.4,-0.2,53,52.8,34.7,38.5
57,Bulgaria,BGR,7.4,6.5,-0.7,-0.7,68.9,73.7,39.7,41.6
57,Saudi Arabia,SAU,28.7,38.5,3.6,2.1,79.8,82.5,20.9,25.9
59,Cuba,CUB,11.2,11,0.3,0,75.6,75.1,32.8,38.4
59,Panama,PAN,3.6,4.5,1.8,1.5,65.8,75.9,24.8,27.3
61,Mexico,MEX,116.1,135.4,1.3,1.1,74.7,78.4,23.4,26.6
62,Costa Rica,CRI,4.8,5.7,1.9,1.4,59,65.1,24.8,28.4
63,Grenada,GRD,0.1,0.1,0.2,0.4,35.9,39.5,21.8,25
64,Libya,LBY,6.5,7.8,2,0.8,76.3,77.9,21.9,25.9
64,Malaysia,MYS,29.3,37.3,2.2,1.6,62,73.5,23.8,26
64,Serbia,SRB,9.8,9.5,-0.6,-0.1,53,56.7,35.7,37.6
67,Antigua and Barbuda,ATG,0.1,0.1,1.6,1,32.1,29.8,..,..
67,Trinidad and Tobago,TTO,1.4,1.4,0.4,0.3,10.8,14,26.9,30.8
69,Kazakhstan,KAZ,16.4,18.9,0.3,1,55.7,53.5,27.7,29
70,Albania,ALB,3.2,3.3,0.5,0.3,41.7,54.5,27.4,30
